locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
HNEAP_RS02200	HNEAP_RS02200	1	NC_013422.1	464736	465689	+	NA	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	0.5671	12	FALSE
HNEAP_RS02205	HNEAP_RS02205	1	NC_013422.1	465686	465946	+	NA	cell division protein FtsL	0.5747	2	FALSE
HNEAP_RS02210	HNEAP_RS02210	1	NC_013422.1	465988	467802	+	NA	hypothetical protein	0.5901	47	FALSE
HNEAP_RS02215	HNEAP_RS02215	1	NC_013422.1	467799	469358	+	NA	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2 6-diaminopimelate ligase	0.5821	30	FALSE
HNEAP_RS02220	HNEAP_RS02220	1	NC_013422.1	469355	470779	+	NA	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	0.567	21	FALSE
HNEAP_RS02225	HNEAP_RS02225	1	NC_013422.1	470781	471863	+	NA	phospho-N-acetylmuramoyl-pentapeptide-transferase	0.5596	19	FALSE
HNEAP_RS02230	HNEAP_RS02230	1	NC_013422.1	471863	473278	+	NA	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	0.5819	21	FALSE
HNEAP_RS02235	HNEAP_RS02235	1	NC_013422.1	473275	474522	+	NA	cell division protein FtsW	0.5633	17	FALSE
HNEAP_RS02240	HNEAP_RS02240	1	NC_013422.1	474519	475643	+	NA	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	0.5991	15	FALSE
HNEAP_RS02245	HNEAP_RS02245	1	NC_013422.1	475640	477115	+	NA	UDP-N-acetylmuramate--L-alanine ligase	0.5982	22	FALSE
HNEAP_RS02250	HNEAP_RS02250	1	NC_013422.1	477108	478082	+	NA	D-alanine--D-alanine ligase	0.5877	13	FALSE
HNEAP_RS02255	HNEAP_RS02255	1	NC_013422.1	478085	478900	+	NA	cell division protein FtsQ	0.5821	12	FALSE
HNEAP_RS02260	HNEAP_RS02260	1	NC_013422.1	478931	480181	+	NA	cell division protein FtsA	0.5987	18	FALSE
HNEAP_RS02265	HNEAP_RS02265	1	NC_013422.1	480248	481393	+	NA	cell division protein FtsZ	0.5777	15	FALSE
HNEAP_RS02270	HNEAP_RS02270	1	NC_013422.1	481756	482256	+	NA	hypothetical protein	0.5289	14	TRUE
HNEAP_RS02275	HNEAP_RS02275	1	NC_013422.1	482560	483021	-	NA	RES domain-containing protein	0.5823	12	TRUE
HNEAP_RS12130	HNEAP_RS12130	1	NC_013422.1	483018	483551	-	NA	hypothetical protein	0.5974	9	FALSE
GFF455		7	NC_013422.1	483774	484823	-	NA	integrase	0.54	28	TRUE
HNEAP_RS02290	HNEAP_RS02290	5	NC_013422.1	484996	485072	-	NA	tRNA-Met	0.5455	3	FALSE
HNEAP_RS02295	HNEAP_RS02295	1	NC_013422.1	485265	487091	-	NA	RNA polymerase sigma factor RpoD	0.5523	24	FALSE
HNEAP_RS02300	HNEAP_RS02300	1	NC_013422.1	487230	488909	-	NA	DNA primase	0.5643	27	FALSE
HNEAP_RS02305	HNEAP_RS02305	1	NC_013422.1	489265	490032	+	NA	sel1 repeat family protein	0.5573	25	TRUE
HNEAP_RS02310	HNEAP_RS02310	1	NC_013422.1	490109	491554	-	NA	cardiolipin synthase	0.5636	32	TRUE
HNEAP_RS02315	HNEAP_RS02315	1	NC_013422.1	491554	492396	-	NA	short-chain dehydrogenase/reductase	0.5919	18	TRUE
HNEAP_RS02320	HNEAP_RS02320	1	NC_013422.1	492545	493210	+	NA	BAX inhibitor (BI)-1/YccA family protein	0.542	12	TRUE
HNEAP_RS02325	HNEAP_RS02325	1	NC_013422.1	493301	493495	+	NA	hypothetical protein	0.5282	1	TRUE
HNEAP_RS02330	HNEAP_RS02330	1	NC_013422.1	493567	494154	+	NA	CBS domain-containing protein	0.551	12	TRUE
HNEAP_RS02335	HNEAP_RS02335	1	NC_013422.1	494145	494774	+	NA	HPP family protein	0.5873	10	TRUE
HNEAP_RS02340	HNEAP_RS02340	1	NC_013422.1	494874	496880	+	NA	methyl-accepting chemotaxis protein	0.5481	31	TRUE
HNEAP_RS02345	HNEAP_RS02345	1	NC_013422.1	496904	497485	+	NA	IclR family transcriptional regulator	0.6031	5	TRUE
HNEAP_RS02350	HNEAP_RS02350	1	NC_013422.1	497833	498273	+	NA	DUF3429 domain-containing protein	0.5828	7	TRUE
HNEAP_RS02355	HNEAP_RS02355	1	NC_013422.1	498270	498947	+	NA	DUF502 domain-containing protein	0.5619	12	TRUE
HNEAP_RS02360	HNEAP_RS02360	1	NC_013422.1	498991	500775	+	NA	aspartate--tRNA ligase	0.5916	24	FALSE
HNEAP_RS02365	HNEAP_RS02365	1	NC_013422.1	500852	501937	+	NA	quinolinate synthase NadA	0.5838	11	FALSE
HNEAP_RS02370	HNEAP_RS02370	1	NC_013422.1	502064	503914	+	NA	sodium/hydrogen exchanger	0.5348	57	TRUE
HNEAP_RS02375	HNEAP_RS02375	5	NC_013422.1	503998	504073	+	NA	tRNA-Gly	0.5921	1	FALSE
HNEAP_RS02380	HNEAP_RS02380	5	NC_013422.1	504075	504150	+	NA	tRNA-Val	0.5921	3	FALSE
HNEAP_RS02385	HNEAP_RS02385	5	NC_013422.1	504161	504237	+	NA	tRNA-Asp	0.6623	2	FALSE
HNEAP_RS02390	HNEAP_RS02390	1	NC_013422.1	504434	505717	+	NA	integrase	0.546	30	TRUE
HNEAP_RS02395	HNEAP_RS02395	1	NC_013422.1	505838	506875	+	NA	IS5/IS1182 family transposase	0.5645	14	FALSE
HNEAP_RS02400	HNEAP_RS02400	1	NC_013422.1	507500	507904	+	NA	hypothetical protein	0.5407	7	TRUE
HNEAP_RS12455	HNEAP_RS12455	1	NC_013422.1	507894	510317	+	NA	relaxase	0.5561	47	TRUE
HNEAP_RS02425	HNEAP_RS02425	1	NC_013422.1	510414	510584	-	NA	AlpA family phage regulatory protein	0.5439	2	TRUE
HNEAP_RS02430	HNEAP_RS02430	1	NC_013422.1	511384	512184	+	NA	NAD(P)-dependent oxidoreductase	0.5593	13	TRUE
HNEAP_RS12135	HNEAP_RS12135	1	NC_013422.1	512390	515425	+	NA	diguanylate cyclase with PAS/PAC and GAF sensors	0.5461	61	TRUE
HNEAP_RS02440	HNEAP_RS02440	1	NC_013422.1	515917	516708	+	NA	ABC transporter permease	0.5391	18	TRUE
HNEAP_RS02445	HNEAP_RS02445	1	NC_013422.1	516712	517440	+	NA	ABC transporter ATP-binding protein	0.5322	16	TRUE
HNEAP_RS02450	HNEAP_RS02450	1	NC_013422.1	517445	518881	+	NA	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	0.5296	33	TRUE
HNEAP_RS02455	HNEAP_RS02455	1	NC_013422.1	518883	520364	+	NA	phosphomannomutase/phosphoglucomutase	0.5641	28	TRUE
HNEAP_RS02460	HNEAP_RS02460	1	NC_013422.1	520364	521584	+	NA	hypothetical protein	0.4316	52	TRUE
HNEAP_RS12140	HNEAP_RS12140	1	NC_013422.1	521678	524281	+	NA	group 1 glycosyl transferase	0.525	89	TRUE
HNEAP_RS02470	HNEAP_RS02470	1	NC_013422.1	524409	525443	+	NA	GDP-mannose 4 6-dehydratase	0.5063	32	TRUE
HNEAP_RS02475	HNEAP_RS02475	1	NC_013422.1	525494	526405	+	NA	GDP-6-deoxy-D-lyxo-4-hexulose reductase	0.5197	22	TRUE
HNEAP_RS02480	HNEAP_RS02480	1	NC_013422.1	526402	527598	+	NA	glycosyltransferase family 1 protein	0.4937	36	TRUE
HNEAP_RS02485	HNEAP_RS02485	1	NC_013422.1	527608	528759	+	NA	group 1 glycosyl transferase	0.5469	34	TRUE
HNEAP_RS02490	HNEAP_RS02490	1	NC_013422.1	528849	530252	+	NA	undecaprenyl-phosphate glucose phosphotransferase	0.5285	34	TRUE
HNEAP_RS02495	HNEAP_RS02495	1	NC_013422.1	530296	530964	-	NA	nucleotidyltransferase family protein	0.5575	11	TRUE
HNEAP_RS02500	HNEAP_RS02500	1	NC_013422.1	531017	532501	-	NA	TolC family type I secretion outer membrane protein	0.5495	27	TRUE
HNEAP_RS02505	HNEAP_RS02505	1	NC_013422.1	532762	533427	-	NA	protein-L-isoaspartate O-methyltransferase	0.5465	10	FALSE
HNEAP_RS02510	HNEAP_RS02510	1	NC_013422.1	533871	535760	+	NA	phosphomethylpyrimidine synthase ThiC	0.563	36	FALSE
HNEAP_RS02515	HNEAP_RS02515	1	NC_013422.1	535846	536322	+	NA	peroxiredoxin	0.5283	16	TRUE
HNEAP_RS12145	HNEAP_RS12145	1	NC_013422.1	536333	537073	-	NA	hypothetical protein	0.5776	23	TRUE
HNEAP_RS02525	HNEAP_RS02525	1	NC_013422.1	537148	538068	+	NA	hypothetical protein	0.5603	14	TRUE
HNEAP_RS02530	HNEAP_RS02530	1	NC_013422.1	538079	538684	-	NA	cation transporter	0.5479	11	TRUE
HNEAP_RS02535	HNEAP_RS02535	1	NC_013422.1	538677	539000	-	NA	DUF1244 domain-containing protein	0.5494	7	TRUE
HNEAP_RS02540	HNEAP_RS02540	1	NC_013422.1	539041	539262	-	NA	BolA family transcriptional regulator	0.5495	2	TRUE
HNEAP_RS02545	HNEAP_RS02545	1	NC_013422.1	539350	540474	-	NA	ribonuclease D	0.5742	18	TRUE
HNEAP_RS02550	HNEAP_RS02550	1	NC_013422.1	540479	541078	-	NA	peptidyl-prolyl cis-trans isomerase	0.5333	15	TRUE
HNEAP_RS02555	HNEAP_RS02555	1	NC_013422.1	541071	541487	-	NA	RNA polymerase-binding protein DksA	0.5492	6	FALSE
HNEAP_RS12150	HNEAP_RS12150	1	NC_013422.1	541662	542414	-	NA	energy transducer TonB	0.5657	11	TRUE
HNEAP_RS02565	HNEAP_RS02565	1	NC_013422.1	542470	543570	-	NA	FAD:protein FMN transferase	0.5777	19	FALSE
HNEAP_RS02570	HNEAP_RS02570	1	NC_013422.1	543609	544574	-	NA	glutathione synthase	0.5776	13	FALSE
HNEAP_RS02575	HNEAP_RS02575	1	NC_013422.1	544571	545920	-	NA	glutamate--cysteine ligase	0.5548	24	FALSE
GFF511		7	NC_013422.1	546235	546670	+	NA	pilus assembly protein PilG	0.5321	11	TRUE
HNEAP_RS02585	HNEAP_RS02585	1	NC_013422.1	546745	547107	+	NA	response regulator	0.4876	6	TRUE
HNEAP_RS12155	HNEAP_RS12155	1	NC_013422.1	547127	547642	+	NA	CheW protein	0.5446	8	TRUE
HNEAP_RS02595	HNEAP_RS02595	1	NC_013422.1	547722	549737	+	NA	methyl-accepting chemotaxis sensory transducer	0.5437	33	TRUE
HNEAP_RS02600	HNEAP_RS02600	1	NC_013422.1	549930	556457	+	NA	signal transduction histidine kinase	0.5363	88	TRUE
HNEAP_RS02605	HNEAP_RS02605	1	NC_013422.1	556454	557026	+	NA	hypothetical protein	0.5689	12	TRUE
HNEAP_RS02610	HNEAP_RS02610	1	NC_013422.1	557126	557770	-	NA	hypothetical protein	0.5643	13	TRUE
HNEAP_RS02615	HNEAP_RS02615	1	NC_013422.1	557967	559820	-	NA	TonB-dependent receptor	0.5496	50	TRUE
HNEAP_RS02620	HNEAP_RS02620	1	NC_013422.1	560457	561035	+	NA	ADP compounds hydrolase NudE	0.5907	11	TRUE
HNEAP_RS02625	HNEAP_RS02625	1	NC_013422.1	561069	561890	+	NA	3'(2') 5'-bisphosphate nucleotidase	0.5973	15	TRUE
HNEAP_RS02630	HNEAP_RS02630	1	NC_013422.1	561948	562556	+	NA	type 1 glutamine amidotransferase	0.5665	2	FALSE
HNEAP_RS02635	HNEAP_RS02635	1	NC_013422.1	562553	563812	+	NA	MFS transporter	0.5857	21	TRUE
HNEAP_RS02640	HNEAP_RS02640	1	NC_013422.1	563956	564696	+	NA	YebC/PmpR family DNA-binding transcriptional regulator	0.5533	15	TRUE
HNEAP_RS02645	HNEAP_RS02645	1	NC_013422.1	564707	565264	+	NA	crossover junction endodeoxyribonuclease RuvC	0.5914	6	FALSE
HNEAP_RS02650	HNEAP_RS02650	1	NC_013422.1	565261	565881	+	NA	Holliday junction branch migration protein RuvA	0.5845	6	FALSE
HNEAP_RS02655	HNEAP_RS02655	1	NC_013422.1	565881	566927	+	NA	Holliday junction branch migration DNA helicase RuvB	0.5826	12	FALSE
HNEAP_RS02660	HNEAP_RS02660	1	NC_013422.1	566924	567334	+	NA	tol-pal system-associated acyl-CoA thioesterase	0.5377	8	TRUE
HNEAP_RS02665	HNEAP_RS02665	1	NC_013422.1	567331	568008	+	NA	protein TolQ	0.556	12	FALSE
HNEAP_RS02670	HNEAP_RS02670	1	NC_013422.1	568012	568467	+	NA	protein TolR	0.5461	10	FALSE
HNEAP_RS02675	HNEAP_RS02675	1	NC_013422.1	568470	569507	+	NA	protein TolA	0.5684	7	FALSE
HNEAP_RS02680	HNEAP_RS02680	1	NC_013422.1	569547	570884	+	NA	Tol-Pal system beta propeller repeat protein TolB	0.5336	33	FALSE
HNEAP_RS02685	HNEAP_RS02685	1	NC_013422.1	570959	571924	+	NA	tol-pal system protein YbgF	0.5259	28	TRUE
HNEAP_RS02690	HNEAP_RS02690	1	NC_013422.1	571921	572604	+	NA	7-carboxy-7-deazaguanine synthase QueE	0.5161	17	TRUE
HNEAP_RS02695	HNEAP_RS02695	1	NC_013422.1	572588	573295	+	NA	7-cyano-7-deazaguanine synthase QueC	0.5169	27	TRUE
HNEAP_RS02700	HNEAP_RS02700	5	NC_013422.1	573351	573426	+	NA	tRNA-Lys	0.5263	2	FALSE
HNEAP_RS02705	HNEAP_RS02705	2	NC_013422.1	573784	575321	+	NA	16S ribosomal RNA	0.5371	62	FALSE
HNEAP_RS02710	HNEAP_RS02710	5	NC_013422.1	575391	575467	+	NA	tRNA-Ile	0.5974	2	FALSE
HNEAP_RS02715	HNEAP_RS02715	5	NC_013422.1	575749	575824	+	NA	tRNA-Ala	0.6316	0	FALSE
HNEAP_RS02720	HNEAP_RS02720	2	NC_013422.1	576038	578936	+	NA	23S ribosomal RNA	0.5336	121	FALSE
HNEAP_RS02725	HNEAP_RS02725	2	NC_013422.1	579028	579143	+	NA	5S ribosomal RNA	0.5776	2	FALSE
HNEAP_RS02730	HNEAP_RS02730	1	NC_013422.1	579270	579479	+	NA	hypothetical protein	0.5762	7	TRUE
HNEAP_RS02735	HNEAP_RS02735	1	NC_013422.1	579584	580069	+	NA	hypothetical protein	0.5021	17	TRUE
HNEAP_RS02740	HNEAP_RS02740	1	NC_013422.1	580090	580716	-	NA	cytochrome c	0.5104	21	TRUE
HNEAP_RS02745	HNEAP_RS02745	1	NC_013422.1	580753	581355	-	NA	purine or other phosphorylase family 1	0.5124	16	TRUE
HNEAP_RS02750	HNEAP_RS02750	1	NC_013422.1	581371	581889	-	NA	adenine phosphoribosyltransferase	0.5491	11	TRUE
HNEAP_RS02755	HNEAP_RS02755	1	NC_013422.1	582064	582624	-	NA	Smr protein/MutS2	0.5472	8	TRUE
HNEAP_RS02760	HNEAP_RS02760	1	NC_013422.1	582732	583496	+	NA	5'/3'-nucleotidase SurE	0.5791	12	FALSE
HNEAP_RS02765	HNEAP_RS02765	1	NC_013422.1	583658	584272	+	NA	protein-L-isoaspartate(D-aspartate) O-methyltransferase	0.5561	16	TRUE
HNEAP_RS02770	HNEAP_RS02770	1	NC_013422.1	584269	584856	+	NA	DedA family protein	0.5425	12	TRUE
HNEAP_RS02775	HNEAP_RS02775	1	NC_013422.1	584866	585666	+	NA	hypothetical protein	0.5743	15	TRUE
HNEAP_RS02780	HNEAP_RS02780	1	NC_013422.1	585700	586635	-	NA	WYL domain-containing protein	0.5214	23	FALSE
HNEAP_RS02785	HNEAP_RS02785	1	NC_013422.1	586732	587064	+	NA	hypothetical protein	0.5045	8	TRUE
HNEAP_RS02790	HNEAP_RS02790	1	NC_013422.1	587087	588085	-	NA	zinc transporter ZntB	0.5245	22	TRUE
HNEAP_RS02795	HNEAP_RS02795	1	NC_013422.1	588122	588712	-	NA	class I SAM-dependent methyltransferase	0.533	10	TRUE
HNEAP_RS02800	HNEAP_RS02800	1	NC_013422.1	588783	589244	-	NA	Fur family transcriptional regulator	0.539	8	TRUE
HNEAP_RS02805	HNEAP_RS02805	1	NC_013422.1	589563	590513	+	NA	MBL fold metallo-hydrolase	0.5205	20	TRUE
HNEAP_RS02810	HNEAP_RS02810	1	NC_013422.1	590651	591175	+	NA	hypothetical protein	0.5981	10	TRUE
HNEAP_RS02815	HNEAP_RS02815	1	NC_013422.1	591175	591831	+	NA	hypothetical protein	0.5358	19	TRUE
GFF559		7	NC_013422.1	591909	592172	+	NA	hypothetical protein	0.5947	5	TRUE
HNEAP_RS02825	HNEAP_RS02825	1	NC_013422.1	592488	593195	+	NA	hypothetical protein	0.5113	15	TRUE
HNEAP_RS02830	HNEAP_RS02830	1	NC_013422.1	593331	594320	+	NA	sulfurtransferase	0.497	28	TRUE
HNEAP_RS02835	HNEAP_RS02835	1	NC_013422.1	594473	595366	-	NA	phosphoribulokinase	0.5201	21	FALSE
HNEAP_RS02840	HNEAP_RS02840	5	NC_013422.1	596032	596107	+	NA	tRNA-Ala	0.6316	1	FALSE
HNEAP_RS02845	HNEAP_RS02845	5	NC_013422.1	596413	596502	-	NA	tRNA-Ser	0.5778	1	FALSE
HNEAP_RS02850	HNEAP_RS02850	1	NC_013422.1	596841	597224	+	NA	peptidoglycan-associated lipoprotein	0.5312	14	FALSE
HNEAP_RS02855	HNEAP_RS02855	1	NC_013422.1	597323	600874	-	NA	exodeoxyribonuclease V subunit gamma	0.5611	60	TRUE
HNEAP_RS02860	HNEAP_RS02860	1	NC_013422.1	600968	601996	-	NA	GGDEF domain-containing protein	0.5462	25	TRUE
HNEAP_RS02865	HNEAP_RS02865	1	NC_013422.1	602125	602694	-	NA	elongation factor P	0.5175	8	FALSE
HNEAP_RS02870	HNEAP_RS02870	1	NC_013422.1	602767	603915	-	NA	elongation factor P maturation arginine rhamnosyltransferase EarP	0.5753	13	FALSE
HNEAP_RS02875	HNEAP_RS02875	1	NC_013422.1	603916	605412	-	NA	hypothetical protein	0.5531	31	TRUE
HNEAP_RS02880	HNEAP_RS02880	1	NC_013422.1	605669	607567	+	NA	ABC transporter ATP-binding protein	0.5793	28	TRUE
HNEAP_RS02885	HNEAP_RS02885	1	NC_013422.1	607592	607960	+	NA	hypothetical protein	0.542	6	TRUE
HNEAP_RS02890	HNEAP_RS02890	1	NC_013422.1	608062	608937	+	NA	RNA polymerase sigma factor RpoH	0.5582	10	FALSE
HNEAP_RS02895	HNEAP_RS02895	1	NC_013422.1	608986	609618	-	NA	MarC family protein	0.564	8	TRUE
HNEAP_RS02900	HNEAP_RS02900	1	NC_013422.1	609765	610328	+	NA	phosphatidylethanolamine N-methyltransferase	0.5567	10	TRUE
HNEAP_RS02905	HNEAP_RS02905	1	NC_013422.1	610397	610816	-	NA	biopolymer transporter ExbD	0.4548	19	TRUE
HNEAP_RS02910	HNEAP_RS02910	1	NC_013422.1	610822	611535	-	NA	MotA/TolQ/ExbB proton channel family protein	0.514	20	TRUE
HNEAP_RS12465	HNEAP_RS12465	1	NC_013422.1	611555	612193	-	NA	energy transducer TonB	0.5524	10	TRUE
HNEAP_RS02920	HNEAP_RS02920	1	NC_013422.1	612638	614902	+	NA	catecholate siderophore receptor Fiu	0.5263	80	TRUE
HNEAP_RS02925	HNEAP_RS02925	1	NC_013422.1	614994	615671	+	NA	Fe2+-dependent dioxygenase	0.5383	14	TRUE
HNEAP_RS12165	HNEAP_RS12165	1	NC_013422.1	615656	618205	+	NA	hypothetical protein	0.5643	53	TRUE
HNEAP_RS02935	HNEAP_RS02935	1	NC_013422.1	618276	620030	-	NA	glucan biosynthesis protein D	0.5726	34	TRUE
HNEAP_RS02940	HNEAP_RS02940	1	NC_013422.1	620062	622176	-	NA	glucans biosynthesis glucosyltransferase MdoH	0.5745	34	TRUE
HNEAP_RS02945	HNEAP_RS02945	1	NC_013422.1	622173	622466	-	NA	hypothetical protein	0.5748	4	TRUE
HNEAP_RS02950	HNEAP_RS02950	1	NC_013422.1	622463	624070	-	NA	glucan biosynthesis protein G	0.5541	31	TRUE
HNEAP_RS02955	HNEAP_RS02955	1	NC_013422.1	624563	628069	+	NA	DNA polymerase III subunit alpha	0.578	62	FALSE
HNEAP_RS02960	HNEAP_RS02960	1	NC_013422.1	628185	628421	+	NA	DUF465 domain-containing protein	0.3966	6	TRUE
HNEAP_RS02965	HNEAP_RS02965	1	NC_013422.1	628854	629573	-	NA	hypothetical protein	0.5167	23	FALSE
HNEAP_RS02970	HNEAP_RS02970	1	NC_013422.1	629551	630921	-	NA	sulfite dehydrogenase	0.5208	26	FALSE
HNEAP_RS02975	HNEAP_RS02975	1	NC_013422.1	631283	631774	+	NA	molybdenum cofactor biosynthesis protein MoaE	0.5833	4	FALSE
HNEAP_RS02980	HNEAP_RS02980	1	NC_013422.1	631803	633038	+	NA	molybdopterin molybdenumtransferase MoeA	0.585	21	FALSE
HNEAP_RS02985	HNEAP_RS02985	1	NC_013422.1	633026	633514	+	NA	cyclic pyranopterin monophosphate synthase MoaC	0.5746	9	FALSE
HNEAP_RS02990	HNEAP_RS02990	1	NC_013422.1	634043	635029	+	NA	GTP 3' 8-cyclase MoaA	0.5613	17	FALSE
HNEAP_RS02995	HNEAP_RS02995	1	NC_013422.1	635192	636610	-	NA	protoporphyrinogen oxidase	0.5666	25	FALSE
HNEAP_RS03000	HNEAP_RS03000	1	NC_013422.1	636735	637685	+	NA	complex I NDUFA9 subunit family protein	0.5563	21	TRUE
HNEAP_RS03005	HNEAP_RS03005	1	NC_013422.1	637943	638485	+	NA	membrane protein	0.5138	11	TRUE
HNEAP_RS03010	HNEAP_RS03010	1	NC_013422.1	638544	639821	+	NA	membrane protein	0.5618	30	TRUE
HNEAP_RS03015	HNEAP_RS03015	1	NC_013422.1	639959	641236	-	NA	pyridine nucleotide-disulfide oxidoreductase	0.5274	32	TRUE
HNEAP_RS03020	HNEAP_RS03020	1	NC_013422.1	641228	641461	+	NA	hypothetical protein	0.4829	5	FALSE
HNEAP_RS03025	HNEAP_RS03025	1	NC_013422.1	641526	642506	-	NA	50S ribosomal protein L3 N(5)-glutamine methyltransferase	0.5596	24	TRUE
HNEAP_RS03030	HNEAP_RS03030	1	NC_013422.1	642601	643512	+	NA	phosphatidylserine decarboxylase	0.5735	18	FALSE
HNEAP_RS03035	HNEAP_RS03035	1	NC_013422.1	643647	645275	+	NA	hypothetical protein	0.5285	36	TRUE
HNEAP_RS03040	HNEAP_RS03040	1	NC_013422.1	645268	647349	+	NA	diguanylate cyclase	0.5264	40	TRUE
HNEAP_RS03045	HNEAP_RS03045	1	NC_013422.1	647365	647769	+	NA	dihydroneopterin aldolase	0.5383	9	FALSE
HNEAP_RS03050	HNEAP_RS03050	1	NC_013422.1	647796	648992	+	NA	SAM-dependent methyltransferase	0.5906	20	FALSE
HNEAP_RS03055	HNEAP_RS03055	1	NC_013422.1	649140	649949	+	NA	TatD family deoxyribonuclease	0.5765	16	TRUE
HNEAP_RS03060	HNEAP_RS03060	1	NC_013422.1	649968	650939	+	NA	thiamine-phosphate kinase	0.5916	18	FALSE
HNEAP_RS03065	HNEAP_RS03065	1	NC_013422.1	650943	651485	+	NA	phosphatidylglycerophosphatase A	0.5672	5	FALSE
HNEAP_RS03070	HNEAP_RS03070	1	NC_013422.1	651557	652030	+	NA	hypothetical protein	0.5612	6	TRUE
HNEAP_RS03075	HNEAP_RS03075	1	NC_013422.1	652259	652585	-	NA	hypothetical protein	0.4862	9	TRUE
HNEAP_RS03080	HNEAP_RS03080	1	NC_013422.1	652749	654206	+	NA	IMP dehydrogenase	0.5761	27	FALSE
HNEAP_RS03085	HNEAP_RS03085	1	NC_013422.1	654431	656017	+	NA	glutamine-hydrolyzing GMP synthase	0.5841	21	FALSE
HNEAP_RS12470	HNEAP_RS12470	1	NC_013422.1	656235	656378	-	NA	DUF3096 domain-containing protein	0.4375	8	TRUE
HNEAP_RS03090	HNEAP_RS03090	1	NC_013422.1	656645	657106	+	NA	nucleoside deaminase	0.5931	6	FALSE
HNEAP_RS03095	HNEAP_RS03095	1	NC_013422.1	657394	658848	+	NA	type I restriction-modification protein subunit M	0.5533	27	TRUE
HNEAP_RS12170	HNEAP_RS12170	1	NC_013422.1	658845	660050	+	NA	restriction modification system DNA specificity domain-containing protein	0.495	34	TRUE
HNEAP_RS03110	HNEAP_RS03110	1	NC_013422.1	660063	661481	+	NA	hypothetical protein	0.5215	38	TRUE
HNEAP_RS03115	HNEAP_RS03115	1	NC_013422.1	661782	664133	+	NA	restriction endonuclease subunit R	0.5574	43	TRUE
HNEAP_RS03120	HNEAP_RS03120	5	NC_013422.1	664507	664583	-	NA	tRNA-Arg	0.6104	3	FALSE
HNEAP_RS12475	HNEAP_RS12475	1	NC_013422.1	664629	664817	-	NA	CPXCG motif-containing cysteine-rich protein	0.5661	4	TRUE
HNEAP_RS03130	HNEAP_RS03130	1	NC_013422.1	664969	666234	-	NA	isocitrate dehydrogenase (NADP(+))	0.5735	23	FALSE
HNEAP_RS03135	HNEAP_RS03135	1	NC_013422.1	666614	666904	+	NA	co-chaperone GroES	0.5464	4	FALSE
HNEAP_RS03140	HNEAP_RS03140	1	NC_013422.1	666956	668590	+	NA	chaperonin GroEL	0.5511	25	FALSE
HNEAP_RS03145	HNEAP_RS03145	1	NC_013422.1	668711	671287	-	NA	DUF3417 domain-containing protein	0.5452	53	TRUE
HNEAP_RS03150	HNEAP_RS03150	1	NC_013422.1	671632	672495	+	NA	flagellin	0.5162	24	TRUE
HNEAP_RS03155	HNEAP_RS03155	1	NC_013422.1	672599	673006	+	NA	flagellar protein FlaG	0.5074	8	TRUE
HNEAP_RS03160	HNEAP_RS03160	1	NC_013422.1	673053	674459	+	NA	flagellar hook-associated 2 domain-containing protein	0.4989	48	TRUE
HNEAP_RS03165	HNEAP_RS03165	1	NC_013422.1	674545	674991	+	NA	flagellar export chaperone FliS	0.5459	8	TRUE
HNEAP_RS03170	HNEAP_RS03170	1	NC_013422.1	675015	675380	+	NA	hypothetical protein	0.582	5	TRUE
HNEAP_RS03175	HNEAP_RS03175	1	NC_013422.1	675468	678083	-	NA	hypothetical protein	0.5428	45	TRUE
HNEAP_RS03180	HNEAP_RS03180	1	NC_013422.1	678371	679375	+	NA	NAD-dependent dehydratase	0.5562	24	TRUE
HNEAP_RS03185	HNEAP_RS03185	1	NC_013422.1	679368	680522	+	NA	aminotransferase DegT	0.5983	18	TRUE
HNEAP_RS03190	HNEAP_RS03190	1	NC_013422.1	680522	681700	+	NA	UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)	0.609	12	TRUE
HNEAP_RS03195	HNEAP_RS03195	1	NC_013422.1	681767	682846	+	NA	N-acetylneuraminate synthase	0.6019	10	TRUE
HNEAP_RS03200	HNEAP_RS03200	1	NC_013422.1	682839	683474	+	NA	sugar O-acyltransferase  sialic acid O-acetyltransferase NeuD family	0.6053	13	TRUE
HNEAP_RS03205	HNEAP_RS03205	1	NC_013422.1	683486	684547	+	NA	alcohol dehydrogenase	0.5847	21	TRUE
HNEAP_RS03210	HNEAP_RS03210	1	NC_013422.1	684540	685226	+	NA	acylneuraminate cytidylyltransferase family protein	0.6114	10	TRUE
HNEAP_RS03215	HNEAP_RS03215	1	NC_013422.1	685312	687018	-	NA	proline--tRNA ligase	0.5934	24	FALSE
HNEAP_RS03220	HNEAP_RS03220	1	NC_013422.1	687242	687709	-	NA	DUF4124 domain-containing protein	0.5085	10	TRUE
HNEAP_RS03225	HNEAP_RS03225	1	NC_013422.1	687958	688896	+	NA	LysR family transcriptional regulator	0.5016	24	FALSE
